All My Life,K-Ci & JoJo,Classic Pop & Rock (Last century)
All My Loving,Beatles,Classic Pop & Rock (Last century)
All You Need Is Love,Beatles,Classic Pop & Rock (Last century)
And I Love Her,"Beatles - Moody, Jazzy Rendition",Classic Pop & Rock (Last century)
And Then He Kissed Me,The Crystals,Classic Pop & Rock (Last century)
Annie's Song,John Denver,Classic Pop & Rock (Last century)
Billie Jean,Michael Jackson,Classic Pop & Rock (Last century)
Bitter Sweet Symphony,The Verve,Classic Pop & Rock (Last century)
Blackbird,Beatles,Classic Pop & Rock (Last century)
Bohemian Rhapsody,Queen,Classic Pop & Rock (Last century)
Can't Help Falling In Love,Elvis,Classic Pop & Rock (Last century)
Can't Take My Eyes Off of You,Frankie Valli,Classic Pop & Rock (Last century)
Changes,David Bowie,Classic Pop & Rock (Last century)
Closer,Nine Inch Nails,Classic Pop & Rock (Last century)
Come and Get Your Love,Redbone,Classic Pop & Rock (Last century)
Crazy Little Thing Called Love,Queen,Classic Pop & Rock (Last century)
Crazy Love,Van Morrison,Classic Pop & Rock (Last century)
Dancing in the Moonlight,King Harvest,Classic Pop & Rock (Last century)
Dancing Queen,Abba,Classic Pop & Rock (Last century)
Don't Stop Believin',Journey,Classic Pop & Rock (Last century)
Eleanor Rigby,Beatles,Classic Pop & Rock (Last century)
Enter Sandman,Metallica,Classic Pop & Rock (Last century)
Faithfully,Journey,Classic Pop & Rock (Last century)
Fields of Gold,Sting,Classic Pop & Rock (Last century)
Finally,Cece Peniston,Classic Pop & Rock (Last century)
Get Back,Beatles,Classic Pop & Rock (Last century)
God Only Knows,The Beach Boys,Classic Pop & Rock (Last century)
Good Day Sunshine,Beatles,Classic Pop & Rock (Last century)
Hallelujah,Leonard Cohen,Classic Pop & Rock (Last century)
Harvest Moon,Neil Young,Classic Pop & Rock (Last century)
Heart-shaped Box,Nirvana,Classic Pop & Rock (Last century)
Here Comes the Sun,Beatles,Classic Pop & Rock (Last century)
"Here, There and Everywhere",Beatles,Classic Pop & Rock (Last century)
Hey Jude,Beatles,Classic Pop & Rock (Last century)
Hooked on a Feeling,Blue Swede,Classic Pop & Rock (Last century)
How Sweet It is,Marvin Gaye,Classic Pop & Rock (Last century)
I Don't Want to Miss a Thing,Aerosmith,Classic Pop & Rock (Last century)
I Feel Good,James Brown,Classic Pop & Rock (Last century)
I Just Called To Say I Love You,Stevie Wonder,Classic Pop & Rock (Last century)
I Wanna Be Your Lover,Prince,Classic Pop & Rock (Last century)
I Want to Hold Your Hand,Beatles,Classic Pop & Rock (Last century)
Imagine,John Lennon,Classic Pop & Rock (Last century)
In My Life,Beatles,Classic Pop & Rock (Last century)
Isn't She Lovely,Stevie Wonder,Classic Pop & Rock (Last century)
Kashmir,Led Zeppelin – Vitamin String Quartet version,Classic Pop & Rock (Last century)
Kiss,Prince,Classic Pop & Rock (Last century)
Kiss From a Rose,Seal,Classic Pop & Rock (Last century)
Kiss Me,Sixpence None The Richer,Classic Pop & Rock (Last century)
Lemon Tree,Fool's Garden,Classic Pop & Rock (Last century)
Let it Be,Beatles,Classic Pop & Rock (Last century)
Let My Love Open The Door,Pete Townshend,Classic Pop & Rock (Last century)
Let's Stay Together,Al Green,Classic Pop & Rock (Last century)
Love Me Tender,Elvis,Classic Pop & Rock (Last century)
Lovely Day,Bill Withers,Classic Pop & Rock (Last century)
Make You Feel My Love,Adele/Bob Dylan,Classic Pop & Rock (Last century)
Man in the Mirror,Michael Jackson,Classic Pop & Rock (Last century)
Michelle,Beatles,Classic Pop & Rock (Last century)
My Girl,Smokey Robinson,Classic Pop & Rock (Last century)
My Love,Paul McCartney,Classic Pop & Rock (Last century)
Never Tear Us Apart,INXS,Classic Pop & Rock (Last century)
One,Metallica,Classic Pop & Rock (Last century)
Our House,"Crosby, Stills, Nash & Young",Classic Pop & Rock (Last century)
"Paint It, Black",Rolling Stones,Classic Pop & Rock (Last century)
Patience,Guns and Roses,Classic Pop & Rock (Last century)
Pony,Ginuwine,Classic Pop & Rock (Last century)
Pretty Woman,Roy Orbison,Classic Pop & Rock (Last century)
Purple Rain,Prince,Classic Pop & Rock (Last century)
September,"Earth, Wind & Fire",Classic Pop & Rock (Last century)
"Signed, Sealed, Delivered",Stevie Wonder,Classic Pop & Rock (Last century)
Since You’ve Been Gone,Russell Ballard,Classic Pop & Rock (Last century)
Smells Like Teen Spirit,Nirvana,Classic Pop & Rock (Last century)
Somebody to Love,Queen,Classic Pop & Rock (Last century)
